"";"code_muni";"territorialidades";"x1";"x2";"x3";"x4";"x5";"x6";"x7";"x8";"x9";"x10";"x15";"x16";"x17";"x18";"x11/pop";"x12/pop";"x13/pop";"x14/pop"
"41";4207650;"ipora do oeste";41,55;49,02;100;94,61;4;23;3,34;5066;1,47;14408,0999367656;12,5;0,759;0,43;98,31;1749,17417290998;4,71899155666548;1,04043286954454;5,32048995124272
"42";4207684;"ipuacu";26,01;20,26;94,18;58,41;5;0;11,07;2554;1,43;16175,5491950782;17,6;0,66;0,61;97,93;2023,80075610474;5,06781406295969;3,77066784348338;3,07811120917917
"43";4207700;"ipumirim";29,22;43,6;99,9;83,66;11;12;5,09;4290;0,94;22750,2045302625;12;0,738;0,42;100;2053,68688227145;7,40595567867036;4,45734072022161;6,05595567867036
"44";4207759;"iraceminha";25,87;34,52;100;87,64;3;0;7,1;2579;0,45;12714,8614374404;12,6;0,722;0,43;87,15;2264,73674817776;2,97201975076417;0,745356219139431;5,74488596284975
"45";4207809;"irani";29,14;68,41;99,57;91,69;8;46;7,37;5135;4,14;12116,3999555269;12,4;0,742;0,42;99,32;1617,05048578323;3,87713776099045;1,3538978071556;3,54716189277096
"46";4207858;"irati";27,04;21,42;99,58;97,28;2;0;11,56;992;0,54;30802,9255249748;13,4;0,707;0,45;97,71;3150,84778148855;8,79007633587786;12,424141221374;3,01574427480916
"47";4208005;"ita";38,84;63,13;99,76;87,35;7;42;6,08;3695;1,57;20425,846621148;10;0,771;0,45;99,24;4602,25367258014;7,59539371304077;8,27201991907874;4,19467787114846
"48";4208401;"itapiranga";55,01;49,43;99,97;96,22;11;54;3,28;8920;1,52;22924,7627004123;12,9;0,775;0,45;99,21;1980,78141930041;8,78252969044065;5,39704069050555;3,62327211369979
"49";4208609;"jabora";21,14;39,72;100;74,31;2;12;7,29;2309;1,5;19489,4552314169;16,5;0,732;0,45;98,76;2587,13578322197;4,70774560752289;1,25760950259837;9,46448898787429
"50";4208955;"jardinopolis";25,93;45,24;99,93;93,84;1;0;8,99;989;2,45;15423,9872746298;14,5;0,709;0,4;100;3891,40406568516;2,65911664779162;0,64722536806342;7,93091732729332
"51";4209003;"joacaba";116,29;92,24;100;97,25;37;166;3,17;15799;4,1;34504,1165081265;9,2;0,827;0,54;99,4;2622,87052812731;18,7320873427091;6,74981495188749;1,56739452257587
"52";4209177;"jupia";23,42;48,6;98,41;94,06;1;0;10,18;1030;2,47;12017,7832379389;11,3;0,719;0,55;91,49;3452,34149441341;2,55400372439479;1,05819366852886;4,53445065176909
"53";4209201;"lacerdopolis";32,12;52,75;100;72,11;2;0;5,41;1256;1,3;35457,7709758075;9,8;0,781;0,39;99,49;3635,83438381082;11,3447021373352;9,1768985902683;7,47112323783538
"54";4209458;"lajeado grande";22,6;43,49;98,94;76,47;1;0;7,39;758;0,4;15229,3916165016;11,6;0,771;0,44;98,85;4654,72713422819;2,37248322147651;1,12281879194631;6,97852348993289
"55";4209854;"lindoia do sul";24,49;41,58;99,41;95,61;4;25;5,44;2685;0,4;18065,0350952365;11,1;0,743;0,43;100;2535,82495045239;4,98061180525635;2,53662214562689;6,44334338647135
"56";4210035;"luzerna";47,93;76,05;99,95;93,42;2;0;2,16;3131;1,62;17703,9638916025;10,2;0,789;0,43;99,81;2046,60400892857;6,44607142857143;4,90142857142857;2,03410714285714
"57";4210506;"maravilha";130,43;81,84;99,97;92,66;15;78;4,98;12642;2,57;28488,9522440922;9,5;0,781;0,45;99,2;1556,26174471743;12,2351929776933;8,47278403692141;1,27392425682096
"58";4210555;"marema";21,26;34,5;100;51,95;1;0;8,42;1220;0,29;30160,4989441978;11,3;0,743;0,41;100;3651,35703586019;8,44938719927372;8,19473445301861;7,7312755333636
"59";4210902;"modelo";43,63;66,55;100;95,13;4;30;6,67;2402;0,83;23020,7862347696;9,5;0,76;0,43;96,56;2687,15753275649;8,2946847960445;6,52805933250927;2,90655129789864
"60";4211009;"mondai";50,91;61,63;99,76;88,96;9;45;4,55;6283;1,7;25087,0706313297;10,3;0,748;0,4;98,67;1618,28668654091;5,56221288241619;10,3824650571792;4,10976444140358
"61";4211405;"nova erechim";66,38;75,11;99,95;98,2;2;33;5,77;2581;0,86;18898,36295014;12,2;0,765;0,44;97,51;2432,59332163743;5,81497076023392;4,10947368421053;4,84818713450292
"62";4211454;"nova itaberaba";31,01;35,86;99,59;73,24;0;0;9,14;2210;1,35;22362,9652568908;10,3;0,736;0,55;86,19;2305,1971244434;5,55448793063042;5,58800093742676;6,03913756737755
"63";4211652;"novo horizonte";18,13;33,49;99,54;85,66;1;0;12,99;1771;0,62;16586,3629599539;12,5;0,706;0,39;81,48;3273,83906545455;4,37527272727273;1,63745454545455;6,50545454545455
"64";4211850;"ouro verde";12;31,48;99,29;90,76;1;0;11,69;826;1,31;19729,3568143372;17,6;0,695;0,53;90,51;4353,03812417437;4,84940554821664;1,05239982386614;9,24262439453985
"65";4211876;"paial";20,56;19,06;99,44;94,34;1;0;9,23;1013;0,23;12555,6183316599;12,4;0,718;0,44;100;4195,10359047079;2,29438457175269;0,579126488939308;5,80487804878049
"66";4212007;"palma sola";23,4;57,54;99,11;93,77;6;43;8,97;4221;3,02;16951,5677786874;16,6;0,704;0,5;99;1709,18426529298;5,05112685125563;2,64043786220219;5,49774629748873
"67";4212106;"palmitos";45,68;61,62;99,63;94,99;12;72;6,89;9205;2,11;20291,8903453578;13,4;0,737;0,46;96,23;1551,16793383271;7,27128589263421;2,2480024968789;6,69731585518102
"68";4212239;"paraiso";22,84;35,56;99,57;88,44;2;0;11,07;2273;1,9;18342,1023915538;13,6;0,7;0,5;89,1;2240,83320343137;5,26446078431373;4,8031862745098;3,52769607843137
"69";4212270;"passos maia";7,2;24,84;99,25;85,69;5;0;9,75;2217;0,54;22178,798750683;15,8;0,659;0,47;99,11;2979,12536723164;5,45785310734463;6,15570621468927;5,51254237288136
"70";4212601;"peritiba";31;49,56;99,39;93,53;2;34;2,12;1891;0,84;15279,6945338032;9,8;0,766;0,47;99,28;2777,28521084337;4,78212851405623;2,0053547523427;4,73192771084337
"71";4212908;"pinhalzinho";127,3;83,36;99,9;96,12;4;0;4,95;9693;2,79;33596,4958758862;9,5;0,783;0,43;99,44;1665,71128888072;13,0916605437179;11,7815331863826;1,59196669115846
"72";4213104;"piratuba";32,85;59,65;99,88;85,34;4;0;5,4;2707;1,78;98552,895199456;14;0,758;0,43;93,85;5168,84239030506;7,43731717509402;95,4910154617635;2,61512745507731
"73";4213153;"planalto alegre";42,37;40,2;99,61;91,17;1;0;11,98;1533;0,58;25447,1651679419;9,9;0,751;0,42;95,15;2884,14023360965;7,61529766390354;7,34664657121326;4,32177844762622
"74";4213401;"ponte serrada";19,56;69,11;98,97;86,21;12;60;9,66;5204;3,65;13982,6789434599;17,6;0,693;0,44;99,32;1550,16542743177;5,31565587888677;1,58408122563684;3,51754147402774
"75";4213906;"presidente castello branco";26,39;32,06;100;86,54;1;0;4,7;1137;0,69;15896,5655856793;9,7;0,77;0,47;100;4352,89892753623;3,29913043478261;0,849275362318841;7,25101449275362
"76";4214151;"princesa";31,99;36,4;99,49;95,45;1;0;10,36;1544;2,78;9709,76163945621;14,8;0,706;0,42;98,83;2586,85393763597;1,90391588107324;1,35823060188542;2,91914430746918
"77";4214201;"quilombo";36,69;56,07;99,96;87,53;9;48;8,22;5779;1,41;35806,0057542357;13,7;0,73;0,39;97,84;1730,83440573769;15,6028493364559;9,07835675253708;3,84504293520687
"78";4215075;"riqueza";25,43;44,52;99,67;93,06;4;0;8,43;2699;0,75;9786,20923968226;13,9;0,714;0,44;97,55;2064,20953699876;2,39541132699463;0,940471269119471;3,39313766019016
"79";4215208;"romelandia";24,81;36,17;99,7;93,7;5;0;11,36;3052;1,79;14751,5128948891;16,6;0,692;0,47;82,88;1605,54291118717;4,34678436317781;3,49558638083228;2,94469464961268
