"";"code_muni";"territorialidades";"x2";"x3";"x4";"x5";"x6";"x7";"x8";"x9";"x10";"x15";"x16";"x17";"x18";"x11/pop";"x12/pop";"x13/pop";"x14/pop"
"78";4215075;"riqueza";24,72;96,33;82,64;4;NA;11,23;2797;2;3575,96741507375;22,6;0,606;0,52;82,97;1976,55867869328;1,70054200542005;0,347657762291909;2,10143244289586
"79";4215208;"romelandia";32,66;91,61;84,22;2;28;11,23;3162;2,76;3338,04613604859;29,4;0,534;0,47;65,81;1753,38331525959;1,48775227237714;0,386535202588199;1,52642119858265
"80";4215356;"saltinho";20,73;81,2;73,05;NA;NA;17,52;1939;0,81;2812,01900582372;30,5;0,535;0,54;58,53;2234,55888273997;1,30456026058632;0,198929734760354;1,30595625872499
"81";4215554;"santa helena";25,57;97,34;88,92;1;NA;9,86;1323;0,29;4133,90019288046;18,7;0,608;0,5;93,63;3234,81475989113;1,82843894899536;0,53902627511592;1,92040185471406
"82";4215687;"santa terezinha do progresso";12,47;90,91;70,96;NA;NA;15,93;1605;1,11;2406,78874113934;26,9;0,551;0,53;NA;2374,46182049707;1,08665105386417;0,190866510538642;1,19584309133489
"83";4215695;"santiago do sul";30,72;93,35;85,75;NA;NA;13,05;768;0,34;6202,2355026887;26,9;0,584;0,57;27,6;4522,30626177922;2,18808962264151;0,246462264150943;2,81191037735849
"84";4215752;"sao bernardino";16,85;90,21;80,89;NA;NA;13,38;1505;1,72;3733,88361219093;28,6;0,522;0,6;37,47;2760,96781465689;1,49872611464968;0,219426751592357;2,07229299363057
"85";4216008;"sao carlos";57,1;97,13;92,27;7;68;7,42;4971;3,13;4501,67276398916;19,4;0,671;0,64;87,03;1682,38676188186;2,50341734301581;0,669158479282358;1,38850918410935
"86";4216107;"sao domingos";56,92;96,52;84,42;3;41;11,38;4327;5,65;4164,73312004241;22,7;0,661;0,63;86,27;1894,94275233621;3,30020964360587;0,445283018867925;1,87651991614256
"87";4216255;"sao joao do oeste";25,81;99,01;98,13;2;26;0,91;3045;1,58;5669,32292535867;20,2;0,643;0,46;84,28;2305,68842473083;1,94213162895146;0,698220763517015;2,62083261357747
"88";4216701;"sao jose do cedro";48,68;96,58;89,21;7;42;9,05;7286;4,03;4646,03241817172;19,1;0,627;0,55;89,83;1509,81211739971;2,39874250621436;0,851659599356631;1,37001023541453
"89";4216909;"sao lourenco do oeste";68,24;96,56;91,2;20;157;9,82;9409;3,84;6559,78352342567;21,9;0,655;0,54;89,83;1801,1945448313;2,78439456405558;2,47915712322492;1,00702397312567
"90";4217154;"sao miguel da boa vista";16,4;93,79;82,06;1;NA;13,01;1034;0,52;5615,61290352353;30,5;0,548;0,54;65,6;3753,5486697673;1,49653121902874;0,211100099108028;1,75569871159564
