"";"code_muni";"territorialidades";"x2";"x3";"x4";"x5";"x6";"x7";"x8";"x9";"x11";"x12";"x13";"x14";"x15";"x16";"x17";"x18"
"82";4215687;"santa terezinha do progresso";12,47;90,91;70,96;NA;NA;15,93;1605;1,11;8111161,578818;3712;652;4085;26,9;0,551;0,53;NA
"83";4215695;"santiago do sul";30,72;93,35;85,75;NA;NA;13,05;768;0,34;7669831,41997755;3711;418;4769;26,9;0,584;0,57;27,6
"84";4215752;"sao bernardino";16,85;90,21;80,89;NA;NA;13,38;1505;1,72;8669438,93802265;4706;689;6507;28,6;0,522;0,6;37,47
"85";4216008;"sao carlos";57,1;97,13;92,27;7;68;7,42;4971;3,13;15753869,6382617;23442;6266;13002;19,4;0,671;0,64;87,03
"86";4216107;"sao domingos";56,92;96,52;84,42;3;41;11,38;4327;5,65;18077753,8572874;31484;4248;17902;22,7;0,661;0,63;86,27
"87";4216255;"sao joao do oeste";25,81;99,01;98,13;2;26;0,91;3045;1,58;13347630,2907668;11243;4042;15172;20,2;0,643;0,46;84,28
"88";4216701;"sao jose do cedro";48,68;96,58;89,21;7;42;9,05;7286;4,03;20651210,1417933;32810;11649;18739;19,1;0,627;0,55;89,83
"89";4216909;"sao lourenco do oeste";68,24;96,56;91,2;20;157;9,82;9409;3,84;35388069,2223005;54705;48708;19785;21,9;0,655;0,54;89,83
"90";4217154;"sao miguel da boa vista";16,4;93,79;82,06;1;NA;13,01;1034;0,52;7574661,21559042;3020;426;3543;30,5;0,548;0,54;65,6
"91";4217204;"sao miguel do oeste";84,74;98,99;79,91;31;178;7,19;16249;7,16;45414369,3909131;125575;65550;10924;15,4;0,705;0,51;93,02
"92";4217303;"saudades";34,8;98,2;89,68;4;39;5,21;4567;1,08;17379306,3893578;20330;25491;16319;18,8;0,635;0,5;93,67
"93";4217501;"seara";62,26;98,26;90,51;14;35;7,36;8470;5,42;36660402,1282392;63187;132693;22526;14,8;0,663;0,5;95,1
"94";4217550;"serra alta";36,07;97,18;82,17;1;NA;9,9;1667;1,76;9597906,4185018;6279;1685;4811;20,6;0,612;0,43;99,5
"95";4217758;"sul brasil";23,88;90,86;83,63;1;NA;12,65;1488;0,7;9249943,9790094;4637;630;5718;23,1;0,55;0,55;62,45
"96";4217956;"tigrinhos";11,34;96,7;83,03;1;NA;13,88;1112;NA;7948419,23951712;3049;358;4623;25,8;0,538;0,43;NA
"97";4218509;"treze tilias";60,06;97,51;96,99;3;18;6,8;2407;3,51;15046040,7306122;18697;37754;7092;19,5;0,668;0,55;100
"98";4218756;"tunapolis";25,48;99,22;95,08;3;27;3,04;2525;1,49;11448119,856429;8894;2617;10712;19,1;0,637;0,49;96,74
"99";4218855;"uniao do oeste";34,27;94,56;88,46;1;NA;12,58;1757;3,02;9770326,83528529;6060;1013;5518;29,7;0,608;0,57;92,42
"100";4219101;"vargeao";39,14;93,79;90,92;2;5;10,75;1646;3,18;10450356,9192328;9091;4830;6394;24,5;0,64;0,62;98,42
"101";4219150;"vargem";20,19;89,32;86,89;1;NA;11,62;1358;4,11;8743302,46629391;4839;1268;5942;25;0,531;0,55;95,33
"102";4219176;"vargem bonita";44,47;98,75;94,19;8;22;9,17;2056;5,63;16430845,0097713;16631;30573;7620;25;0,596;0,49;99,26
"103";4219507;"xanxere";86,52;97,68;95,41;19;175;8,24;17648;10,78;60967247,8026817;161760;74747;27285;20,3;0,674;0,54;96,66
"104";4219606;"xavantina";21,48;98,55;88,07;5;28;9,32;2468;1,59;13031247,6384884;9568;1394;12526;17,3;0,653;0,46;98,29
"105";4219705;"xaxim";70,25;97,09;92,79;11;47;9,56;11200;8,06;47460987,407036;99789;82556;20682;22,4;0,652;0,58;98,7
"106";4219853;"zortea";77,97;96,77;97,84;1;NA;7,67;1079;3,57;10926521,4959388;5184;1067;5506;14,4;0,586;0,42;99,12
